ts_code,name,year,roic,wacc,sales_growth,sustainable_growth,value_creation,cash_status,revenue
002304,洋河股份,2016,52.079670593348126,9.999952980942108,7.043572391887132,21.326475197889618,42.079717612406014,-14.28290281,1718310.9620080001
002304,洋河股份,2017,46.14674817730699,9.999966797334135,15.915818955633625,21.38188919959738,36.14678137997285,-5.466070244,1991794.224
002304,洋河股份,2018,56.449845172753086,9.999973830185843,21.2966766636826,22.978192829580795,46.44987134256724,-1.681516166,2415980.199
002304,洋河股份,2019,47.12925948262688,9.999984417226038,-4.277042957,18.90115238055086,37.12927506540084,-23.17819534,2312647.689
002304,洋河股份,2020,28.58486260147224,9.999993129645285,-8.758038517,18.27194189365777,18.584869471826956,-27.02998041,2110105.113
002304,洋河股份,2021,51.287598047623504,10.000001138156835,20.137039838069654,16.61359907666445,41.28759690946667,3.5234407614052046,2535017.82
002304,洋河股份,2022,51.45534159769528,10,18.756152102375957,18.801276307569534,41.45534159769528,-0.045124205,3010489.619
002304,洋河股份,2023,46.99120674359695,10,10.036179318049964,18.199438136911724,36.99120674359695,-8.163258819,3312627.755
002304,洋河股份,2024,26.748555174003812,10,-12.82963518,10.894702195833467,16.748555174003812,-23.72433737,2887629.699
600519,贵州茅台,2013,176.38966591339468,10,,34.0281539866461,166.38966591339468,,3092180.132
600519,贵州茅台,2014,84.67588019486422,9.992121441758064,2.1089560975541017,27.841450720742237,74.68375875310616,-25.73249462,3157392.853
600519,贵州茅台,2015,125.88123488119524,10,3.4384545884942455,23.435975075662284,115.88123488119524,-19.99752049,3265958.373
600519,贵州茅台,2016,,10,18.991688077637374,21.871770664418992,,-2.880082587,3886218.9993839995
600519,贵州茅台,2017,,10,49.80592015889493,28.678486958321177,,21.12743320057375,5821786.131
600519,贵州茅台,2018,,10,26.488453415767417,29.973563283733018,,-3.485109868,7363887.239
600519,贵州茅台,2019,47.32942316095389,10,16.01151769012772,28.953637698220515,37.32942316095389,-12.94212001,8542957.347
600519,贵州茅台,2020,45.49913467121058,10,11.103657743423534,27.6206614727029,35.49913467121058,-16.51700373,9491538.092
600519,贵州茅台,2021,48.221064515076016,10,11.878763819040698,26.399001484571027,38.221064515076016,-14.52023767,10619015.484376
600519,贵州茅台,2022,54.54762874291712,10,16.86567738278652,28.9822040559455,44.54762874291712,-12.11652667,12409984.377199
600519,贵州茅台,2023,61.74050949193434,10,19.01191855285417,32.03008609177033,51.74050949193434,-13.01816754,14769360.499414
600519,贵州茅台,2024,59.303027894101724,10,15.711951294790794,34.039984417732875,49.303027894101724,-18.32803312,17089915.227633998
600702,舍得酒业,2013,3.0280962083652696,9.071479493734765,,0.053495516771123526,-6.043383285,,141859.1744
600702,舍得酒业,2014,2.715221384840967,9.009338763580029,1.8604025856085091,0.5677502948693306,-6.294117379,1.2926522907391784,144498.3262
600702,舍得酒业,2015,2.6423251593371804,8.493667213189578,-19.98972652,0.28881285406792123,-5.851342054,-20.27853938,115613.50594300001
600702,舍得酒业,2016,8.4360772447455,7.878905580628688,26.419707687144456,3.4344367622625716,0.5571716641168116,22.985270924881885,146158.2563
600702,舍得酒业,2017,22.790633603554078,8.095165746732514,12.100414286237054,5.68220659302119,14.695467856821564,6.418207693215864,163844.0108
600702,舍得酒业,2018,44.60681362711219,8.230497859944583,35.024762027282314,13.526814701935507,36.376315767167604,21.497947325346807,221229.9857
600702,舍得酒业,2019,88.28875947310951,8.275117209753716,19.790398937905586,16.60511572351573,80.01364226335579,3.1852832143898553,265012.2824
600702,舍得酒业,2020,67.8597722074721,9.116304118640542,2.020547798324715,16.045738843764216,58.74346808883156,-14.02519105,270366.9822
600702,舍得酒业,2021,220.28071827076153,10,83.79708998815853,25.811221366662075,210.28071827076153,57.98586862149646,496926.64561099996
600702,舍得酒业,2022,151.0430849318516,10.005336684998401,21.859547121575307,26.21081810867299,141.0377482468532,-4.351270987,605552.5599
600702,舍得酒业,2023,93.75734401010799,9.99971064850769,16.93380717114838,23.802116251688226,83.7576333616003,-6.868309081,708095.6627
600702,舍得酒业,2024,11.764080694418796,8.670903317008031,-24.34540427,4.040878496082421,3.0931773774107647,-28.38628276,535706.9110109999
600779,水井坊,2013,-13.74144468,10,,-11.38778957,-23.74144468,,48574.632797000006
600779,水井坊,2014,-33.67151976,10,-24.88496835,-33.75282943,-43.67151976,8.867861074500112,36486.85079700001
600779,水井坊,2015,20.761240179125217,10,134.29458992122397,6.8655735191300025,10.761240179125217,127.42901640209396,85486.71745
600779,水井坊,2016,1021.8201451659165,10,37.60899745601357,15.047565926143891,1011.8201451659165,22.56143152986968,117637.4148
600779,水井坊,2017,,10,74.12660497330828,19.80753100170709,,54.319073971601185,204838.0366
600779,水井坊,2018,,10,37.62397974653021,29.575136708571453,,8.048843037958758,281906.25805999996
600779,水井坊,2019,,10,25.52736125165536,36.48222788760232,,-10.95486664,353869.4869
600779,水井坊,2020,,10,-15.061548,30.922425148759213,,-45.98397315,300571.2643
600779,水井坊,2021,,10,54.10194503855027,43.33478153988269,,10.767163498667578,463186.1645
600779,水井坊,2022,,10,0.8824884163046345,34.09991373024106,,-33.21742531,467273.7288
600779,水井坊,2023,,10,6.002058623044119,28.042191516110698,,-22.04013289,495319.7719
600779,水井坊,2024,176.26669122852323,10,5.321128187712172,24.993109905121486,166.26669122852323,-19.67198172,521676.3719
600809,山西汾酒,2013,115.92985744137172,10,,23.36518222144774,105.92985744137172,,608719.9948
600809,山西汾酒,2014,26.843117620806005,10,-35.66718028,8.401386064705553,16.843117620806005,-44.06856635,391606.7369
600809,山西汾酒,2015,47.80257957541975,10,5.426134593308828,11.76575515448949,37.80257957541975,-6.339620561,412855.8455
600809,山西汾酒,2016,69.3590411093948,10,6.694585044472946,12.130496210739631,59.359041109394795,-5.435911166,440494.8312
600809,山西汾酒,2017,237.41664727295338,10,37.061351736850426,17.12089938768564,227.41664727295338,19.940452349164786,603748.1699
600809,山西汾酒,2018,,10,55.39488717087912,22.767085161117286,,32.62780200976184,938193.7874309999
600809,山西汾酒,2019,,10,26.62707322588968,25.156929489904158,,1.4701437359855234,1188007.334
600809,山西汾酒,2020,,10,17.75857309913958,30.696427896806483,,-12.9378548,1398980.485
600809,山西汾酒,2021,184.92327396538215,10,42.75385877007404,34.74621256934049,174.92327396538215,8.007646200733546,1997098.6258919998
600809,山西汾酒,2022,305.6150617891205,10,31.259720368550326,36.94361096265125,295.6150617891205,-5.683890594,2621386.072
600809,山西汾酒,2023,64.02455335391701,10,21.80000266702646,36.04351224020319,54.024553353917014,-14.24350957,3192848.305
600809,山西汾酒,2024,62.03530764371469,10,12.786417884409904,32.829892000699154,52.03530764371469,-20.04347412,3601099.232
603369,今世缘,2011,,10,,41.47423046193928,,,224233.7828
603369,今世缘,2012,,10,15.671992429530398,37.30977756393989,,-21.63778513,259375.68428800002
603369,今世缘,2013,643.995781893575,10,-3.020142952,29.777312214807644,633.995781893575,-32.79745517,251542.1678
603369,今世缘,2014,49.3173219830123,10,-4.598985476,18.215620719283837,39.3173219830123,-22.81460619,239973.78007600002
603369,今世缘,2015,35.78538117980548,9.535395670514335,1.049343905489368,16.52731282112746,26.24998550929115,-15.47796892,242491.93031199998
603369,今世缘,2016,31.116161167392164,9.787883146439977,5.338682560423069,15.228834699615307,21.328278020952187,-9.890152139,255437.8047
603369,今世缘,2017,43.698782859341506,10,15.574515047132156,16.57132424117873,33.698782859341506,-0.996809194,295221.004
603369,今世缘,2018,64.44167797175193,9.973208002241982,26.550475154010993,18.366044766963473,54.46846996950995,8.18443038704752,373603.5834
603369,今世缘,2019,51.69960060248114,10,30.348604523457702,19.65927057062494,41.69960060248114,10.689333952832762,486987.0574
603369,今世缘,2020,46.81884815115383,9.694774938135549,5.123191838434034,18.3308297388488,37.12407321301828,-13.2076379,511936.3385
603369,今世缘,2021,75.28784500263474,10,25.123075720517917,21.218533664313842,65.28784500263474,3.9045420562040754,640550.4925
603369,今世缘,2022,111.59380634143665,9.594153877896048,23.091386843397053,21.95470189232601,101.9996524635406,1.136684951071043,788462.4847
603369,今世缘,2023,98.34174456477645,9.448364028165814,28.07184138663508,22.917660469056646,88.89338053661064,5.154180917578433,1009798.423
603369,今世缘,2024,68.48818620665782,9.317863116201025,14.323701626688193,21.271627466887626,59.17032309045679,-6.94792584,1154438.936
603589,口子窖,2011,218.4489773835931,8.742849211442888,,31.847957985530577,209.70612817215022,,209242.0967
603589,口子窖,2012,145.76328525301733,8.612193001654527,19.79172067022467,27.67613774502708,137.1510922513628,-7.884417075,250654.70799499998
603589,口子窖,2013,111.23600808048539,8.867121220151859,-2.369628204,20.266055502483233,102.36888686033353,-22.63568371,244715.12333899998
603589,口子窖,2014,45.598153481236096,9.30097982495753,-7.706814099,18.524329739017464,36.29717365627857,-26.23114384,225855.38371199998
603589,口子窖,2015,37.1214117790401,9.796531794209812,14.410045956000289,16.506592176177797,27.32487998483029,-2.09654622,258401.24829899997
603589,口子窖,2016,35.23480535574471,10,9.526509213885747,17.979700957538316,25.23480535574471,-8.453191744,283017.867
603589,口子窖,2017,96.43814834193635,10,27.293983508338226,21.372198702845893,86.43814834193635,5.921784805492333,360264.717
603589,口子窖,2018,67.39667474818795,10,18.49521922205998,24.120143560039,57.39667474818795,-5.624924338,426896.4662
603589,口子窖,2019,54.91649630932607,10,9.443070672436386,23.250948518958044,44.91649630932607,-13.80787785,467208.6012
603589,口子窖,2020,30.51959769881031,10,-14.1466061,16.38309251831971,20.51959769881031,-30.52969862,401114.4407
603589,口子窖,2021,39.656207977500564,10,25.36567713812091,20.063562389534876,29.656207977500564,5.302114748586032,502859.83465100004
603589,口子窖,2022,29.38962770868431,10,2.117978103260475,16.39693637340208,19.38962770868431,-14.27895827,513510.2958
603589,口子窖,2023,28.804105112196478,10,16.100979554638283,16.732319045118448,18.804105112196478,-0.63133949,596190.4836
603589,口子窖,2024,27.271744103928548,10,0.8856318296574985,14.887379625807451,17.271744103928548,-14.0017478,601470.5363
