ts_code,name,year,core_profit,core_profit_margin,core_profit_yoy_growth
000799,酒鬼酒,2022,140828.08555099994,34.768826578639164,18.385656641397265
000799,酒鬼酒,2023,71723.25421300001,25.34686887577505,-49.07034777
000799,酒鬼酒,2024,2712.8557410000058,1.9059932654855325,-96.21760645
000858,五粮液,2013,1144021.2491449998,46.281819193851135,
000858,五粮液,2014,802407.5291,38.18898471342932,-29.86078452
000858,五粮液,2015,823789.2840979999,38.03399762968616,2.6647001982290823
000858,五粮液,2016,921598.1258949998,37.54913263160062,11.873041284349174
000858,五粮液,2017,1323808.034,43.85389950645997,43.642656955318614
000858,五粮液,2018,1860098.7750230008,46.46739857132831,40.51121662403479
000858,五粮液,2019,2399496.1787020005,47.87683286723062,28.9983204613599
000858,五粮液,2020,2758250.514,48.11932194964732,14.951235963754128
000858,五粮液,2021,3225139.2364609996,48.71145350235159,16.926987585641186
000858,五粮液,2022,3691962.3788369996,49.91253514559173,14.474511273759852
000858,五粮液,2023,4161880.948965001,49.979315790396576,12.728151641567646
000858,五粮液,2024,4385370.423695999,49.17703004558703,5.369915129037432
002304,洋河股份,2013,666198.4313909998,44.343388087056034,
002304,洋河股份,2014,599424.2991350001,40.854384301097696,-10.02315963
002304,洋河股份,2015,657405.4871,40.9536070043992,9.672812405281155
002304,洋河股份,2016,722807.3531010002,42.064991091969475,9.948481915979613
002304,洋河股份,2017,819924.0962190002,41.165100612057195,13.43604802875179
002304,洋河股份,2018,983610.1728,40.71267525464784,19.963564598457616
002304,洋河股份,2019,866889.2868,37.48471032038809,-11.8665798
002304,洋河股份,2020,732775.6879700001,34.72697560862404,-15.47067207
002304,洋河股份,2021,971304.0890839999,38.315473810495575,32.55135303066511
002304,洋河股份,2022,1233913.1543019998,40.98712537155762,27.03675071168049
002304,洋河股份,2023,1297518.154,39.168848721937216,5.154738776569742
002304,洋河股份,2024,936411.6424,32.42838382666721,-27.83055563
600519,贵州茅台,2013,2167333.4045090005,70.09078747768467,
600519,贵州茅台,2014,2151631.936,68.14584171768703,-0.724460224
600519,贵州茅台,2015,2144152.884,65.65156808105084,-0.347599025
600519,贵州茅台,2016,2310809.2889809995,59.46163325708827,7.772598948120423
600519,贵州茅台,2017,3622232.145,62.21857113077019,56.75166975178209
600519,贵州茅台,2018,4793252.728,65.09133794111631,32.32870053589331
600519,贵州茅台,2019,5576314.644,65.27382049908884,16.33675418352291
600519,贵州茅台,2020,6372148.475543001,67.13504612212438,14.271680896104114
600519,贵州茅台,2021,7158726.466,67.41422004866456,12.343999721835909
