ts_code,name,year,有息负债率,利息保障倍数,短期债务覆盖率,对外担保比率,受限货币资金占比,备注
000568.SZ,泸州老窖,2022,12.18,,0.99,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000568.SZ,泸州老窖,2023,18.29,,0.74,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000568.SZ,泸州老窖,2024,,,,,,资产负债表数据缺失
600809.SH,山西汾酒,2015,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600809.SH,山西汾酒,2016,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600809.SH,山西汾酒,2017,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600809.SH,山西汾酒,2018,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600809.SH,山西汾酒,2019,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600809.SH,山西汾酒,2020,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600809.SH,山西汾酒,2021,0.04,,0.17,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600809.SH,山西汾酒,2022,0.02,,0.08,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600809.SH,山西汾酒,2023,0.78,,4.78,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600809.SH,山西汾酒,2024,,,,,,资产负债表数据缺失
002304.SZ,洋河股份,2015,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
002304.SZ,洋河股份,2016,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
002304.SZ,洋河股份,2017,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
002304.SZ,洋河股份,2018,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
002304.SZ,洋河股份,2019,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
002304.SZ,洋河股份,2020,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
002304.SZ,洋河股份,2021,0.01,,0.05,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
002304.SZ,洋河股份,2022,0.03,,0.65,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
002304.SZ,洋河股份,2023,0.04,,0.41,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
002304.SZ,洋河股份,2024,,,,,,资产负债表数据缺失
000596.SZ,古井贡酒,2015,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000596.SZ,古井贡酒,2016,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000596.SZ,古井贡酒,2017,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000596.SZ,古井贡酒,2018,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000596.SZ,古井贡酒,2019,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000596.SZ,古井贡酒,2020,0.86,,1.95,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000596.SZ,古井贡酒,2021,0.85,,0.82,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000596.SZ,古井贡酒,2022,0.57,,4.04,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000596.SZ,古井贡酒,2023,0.53,,1.8,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000596.SZ,古井贡酒,2024,,,,,,资产负债表数据缺失
603589.SH,口子窖,2015,2.01,132.79,14.92,,,对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603589.SH,口子窖,2016,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603589.SH,口子窖,2017,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603589.SH,口子窖,2018,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603589.SH,口子窖,2019,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603589.SH,口子窖,2020,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603589.SH,口子窖,2021,0.03,,0.46,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603589.SH,口子窖,2022,0.01,,0.21,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603589.SH,口子窖,2023,0.02,,0.3,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603589.SH,口子窖,2024,,,,,,资产负债表数据缺失
600779.SH,水井坊,2015,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600779.SH,水井坊,2016,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600779.SH,水井坊,2017,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600779.SH,水井坊,2018,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600779.SH,水井坊,2019,0.1,,0.44,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600779.SH,水井坊,2020,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600779.SH,水井坊,2021,0.09,,0.32,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600779.SH,水井坊,2022,0.09,,0.48,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600779.SH,水井坊,2023,0.07,,0.32,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600779.SH,水井坊,2024,,,,,,资产负债表数据缺失
000799.SZ,酒鬼酒,2015,1.32,147.39,13.01,,,对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000799.SZ,酒鬼酒,2016,1.27,,13.68,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000799.SZ,酒鬼酒,2017,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000799.SZ,酒鬼酒,2018,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000799.SZ,酒鬼酒,2019,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000799.SZ,酒鬼酒,2020,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000799.SZ,酒鬼酒,2021,0.03,,0.11,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000799.SZ,酒鬼酒,2022,0.03,,0.47,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000799.SZ,酒鬼酒,2023,0.03,,3.83,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000799.SZ,酒鬼酒,2024,,,,,,资产负债表数据缺失
600702.SH,舍得酒业,2015,20.02,1.93,623.27,,,对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600702.SH,舍得酒业,2016,21.08,9.76,363.02,,,对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600702.SH,舍得酒业,2017,13.71,592.59,151.36,,,对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600702.SH,舍得酒业,2018,13.71,25873.49,149.83,,,对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600702.SH,舍得酒业,2019,14.54,52.46,125.82,,,对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600702.SH,舍得酒业,2020,6.91,114.39,44.73,,,对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600702.SH,舍得酒业,2021,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600702.SH,舍得酒业,2022,0.37,,1.09,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600702.SH,舍得酒业,2023,1.18,,12.81,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600702.SH,舍得酒业,2024,,,,,,资产负债表数据缺失
603369.SH,今世缘,2015,6.05,,46.72,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603369.SH,今世缘,2016,2.43,,16.22,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603369.SH,今世缘,2017,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603369.SH,今世缘,2018,0.23,,1.78,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603369.SH,今世缘,2019,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603369.SH,今世缘,2020,3.05,,32.33,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603369.SH,今世缘,2021,0,,0.02,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603369.SH,今世缘,2022,3.3,,21.59,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603369.SH,今世缘,2023,4.16,,32.14,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
603369.SH,今世缘,2024,,,,,,资产负债表数据缺失
