ts_code,name,year,money_cap_ratio,debt_cap_ratio,net_profit_growth,ocf_growth,related_receivable_ratio,restricted_money_ratio,guarantee_ratio
000596.SZ,古井贡酒,2021,46.9151082488042,0.8481432875866988,23.904013875391673,44.96468564332351,0.41589167577891495,0,
000596.SZ,古井贡酒,2022,46.23243805628252,0.57205530674724,36.78368831727695,-40.85016516,0.3793408705450065,0,
000596.SZ,古井贡酒,2022,46.23243805628252,0.57205530674724,36.78368831727695,-40.85016516,0.3793408705450065,0,
000596.SZ,古井贡酒,2023,45.076123037264885,0.5305659676952842,46.00549589592351,44.66954993249144,0.21940570984924937,0,
000596.SZ,古井贡酒,2023,45.076123037264885,0.5305659676952842,46.00549589592351,44.66954993249144,0.21940570984924937,0,
000799.SZ,酒鬼酒,2015,16.907293928057175,,190.8636205075681,451.3363334534116,2.479912823109391,0,
000799.SZ,酒鬼酒,2015,16.907293928057175,,190.8636205075681,451.3363334534116,2.479912823109391,0,
000799.SZ,酒鬼酒,2016,13.03255798670169,,22.59780486008139,-4.923672129,0.28790202021576483,0,
000799.SZ,酒鬼酒,2016,13.03255798670169,,22.59780486008139,-4.923672129,0.28790202021576483,0,
000799.SZ,酒鬼酒,2017,13.447209065990807,,62.17688811434993,2.651087387317073,0.7025575078357523,0,
000799.SZ,酒鬼酒,2017,13.447209065990807,,62.17688811434993,2.651087387317073,0.7025575078357523,0,
000799.SZ,酒鬼酒,2018,35.0716589677676,,26.451122519021496,-5.714766636,0.5115534372432641,0,
000799.SZ,酒鬼酒,2018,35.0716589677676,,26.451122519021496,-5.714766636,0.5115534372432641,0,
000799.SZ,酒鬼酒,2019,40.82012458697251,,34.49668382915626,79.92815340286639,0.2607788274285618,0,
000799.SZ,酒鬼酒,2019,40.82012458697251,,34.49668382915626,79.92815340286639,0.2607788274285618,0,
000799.SZ,酒鬼酒,2020,49.65644443099836,,64.1453836072046,148.79004242101615,0.2312822883893638,0,
000799.SZ,酒鬼酒,2020,49.65644443099836,,64.1453836072046,148.79004242101615,0.2312822883893638,0,
000799.SZ,酒鬼酒,2021,55.61830432129212,,81.74818147451101,64.67568967744094,0.2173621300336823,0,
000799.SZ,酒鬼酒,2022,52.7460176703019,,17.38271366019801,-74.39172104,0.20986502460236012,0,
000799.SZ,酒鬼酒,2022,52.7460176703019,,17.38271366019801,-74.39172104,0.20986502460236012,0,
000799.SZ,酒鬼酒,2023,41.64734880030489,,-47.76775263,-87.21211343,0.36981031902809514,0,
000799.SZ,酒鬼酒,2023,41.64734880030489,,-47.76775263,-87.21211343,0.36981031902809514,0,
600809.SH,山西汾酒,2015,15.597598839933521,,46.33617451097228,2.779794968222039,0.3838204683147062,0,
600809.SH,山西汾酒,2015,15.597598839933521,,46.33617451097228,2.779794968222039,0.3838204683147062,0,
600809.SH,山西汾酒,2016,16.421269382963896,,16.235602878243593,36.951240780129005,0.5608714277505915,0,
600809.SH,山西汾酒,2016,16.421269382963896,,16.235602878243593,36.951240780129005,0.5608714277505915,0,
600809.SH,山西汾酒,2017,13.67275424301439,,56.01739014136322,52.998521795055254,0.7155174512628063,0,
