ts_code,name,year,ROOA,ROIA,警告说明
002304.SZ,洋河股份,2020,23.894,12.5846,ROIA=12.58%显著高于市场利率，可能包含非经常性收益; 利息收入未获取到或为0
002304.SZ,洋河股份,2021,27.564,2.0878,利息收入未获取到或为0
002304.SZ,洋河股份,2022,35.9852,1.0534,利息收入未获取到或为0
002304.SZ,洋河股份,2023,40.4594,0.1928,利息收入未获取到或为0
002304.SZ,洋河股份,2024,31.5123,0.6717,利息收入未获取到或为0
603369.SH,今世缘,2015,21.4251,1.6036,利息收入未获取到或为0
603369.SH,今世缘,2016,20.7764,3.0164,利息收入未获取到或为0
603369.SH,今世缘,2017,20.0192,4.2758,利息收入未获取到或为0
603369.SH,今世缘,2018,21.6865,4.824,利息收入未获取到或为0
603369.SH,今世缘,2019,44.9783,2.3585,利息收入未获取到或为0
603369.SH,今世缘,2020,28.6223,3.2242,利息收入未获取到或为0
603369.SH,今世缘,2021,30.9883,1.5951,利息收入未获取到或为0
603369.SH,今世缘,2022,29.1959,0.7003,利息收入未获取到或为0
603369.SH,今世缘,2023,27.5001,0.7087,利息收入未获取到或为0
603369.SH,今世缘,2024,28.1754,0.096,利息收入未获取到或为0
600702.SH,舍得酒业,2015,1.2486,1.5028,利息收入未获取到或为0
600702.SH,舍得酒业,2016,4.1642,-1.6106,利息收入未获取到或为0
600702.SH,舍得酒业,2017,5.6375,0.1924,利息收入未获取到或为0
600702.SH,舍得酒业,2018,10.0024,-0.0019,利息收入未获取到或为0
600702.SH,舍得酒业,2019,11.9609,0.1805,利息收入未获取到或为0
600702.SH,舍得酒业,2020,10.1469,0.1894,利息收入未获取到或为0
600702.SH,舍得酒业,2021,26.4166,0,利息收入未获取到或为0
600702.SH,舍得酒业,2022,29.5713,0.9252,利息收入未获取到或为0
600702.SH,舍得酒业,2023,22.0959,0.9384,利息收入未获取到或为0
600702.SH,舍得酒业,2024,9.6362,-0.2456,利息收入未获取到或为0
600779.SH,水井坊,2015,7.3653,-0.0037,利息收入未获取到或为0
600779.SH,水井坊,2016,15.007,-0.0056,利息收入未获取到或为0
600779.SH,水井坊,2017,19.7115,-0.7608,利息收入未获取到或为0
600779.SH,水井坊,2018,26.7472,0,利息收入未获取到或为0
600779.SH,水井坊,2019,34.7972,0.0369,利息收入未获取到或为0
600779.SH,水井坊,2020,22.5686,0,利息收入未获取到或为0
600779.SH,水井坊,2021,38.3394,0,利息收入未获取到或为0
600779.SH,水井坊,2022,29.9949,0,利息收入未获取到或为0
600779.SH,水井坊,2023,23.1773,0,利息收入未获取到或为0
600779.SH,水井坊,2024,22.376,0,利息收入未获取到或为0
603589.SH,口子窖,2015,19.0782,-0.0655,利息收入未获取到或为0
603589.SH,口子窖,2016,18.7738,3.6807,利息收入未获取到或为0
603589.SH,口子窖,2017,20.0755,3.4423,利息收入未获取到或为0
603589.SH,口子窖,2018,21.9971,6.0631,ROIA=6.06%显著高于市场利率，可能包含非经常性收益; 利息收入未获取到或为0
603589.SH,口子窖,2019,31.9666,2.1403,利息收入未获取到或为0
603589.SH,口子窖,2020,17.6495,1.9065,利息收入未获取到或为0
603589.SH,口子窖,2021,19.946,2.0097,利息收入未获取到或为0
603589.SH,口子窖,2022,16.9208,1.5755,利息收入未获取到或为0
603589.SH,口子窖,2023,17.3006,1.1054,利息收入未获取到或为0
603589.SH,口子窖,2024,15.2691,1.6839,利息收入未获取到或为0
600519.SH,,,,,
600519.SH,,,,,
600519.SH,,,,,
600519.SH,,,,,
600519.SH,,,,,
600519.SH,,,,,
600519.SH,,,,,
600519.SH,,,,,
600519.SH,,,,,
600519.SH,,,,,
