ts_code,name,year,goodwill_to_equity_ratio,amortization_radical_index,amortization_before_margin,amortization_impact_diff,core_profit_margin,intangible_return_ratio,note,anomaly
600519,贵州茅台,2023,0,0.27763934240646126,68.41389043543155,0.1331519172667015,68.28073851816485,1176.424865697816,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600519,贵州茅台,2024,0,0.2906699595656715,68.30319004424958,0.14579947064167698,68.1573905736079,1316.1321321586556,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2013,0,0.29966457280199044,3.2174565940988087,0.3852237750569376,2.832232819041871,22.417188647583096,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2014,0,0.3215354312669303,1.4020239954228932,0.3988147871623853,1.003209208260508,8.341093283739696,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2015,0,0.3355470833252844,1.571844611213466,0.504401355398312,1.067443255815154,7.326292140746014,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2016,0,0.3360603134895462,14.899431094923216,0.38731383603330904,14.512117258889907,129.34858943905047,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2017,0,0.3351570783068457,13.69593937125606,0.33543645530907007,13.36050291594699,146.12139846344877,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2018,0,0.3898632603355617,18.67132701341378,0.26400240061312985,18.40732461280065,290.2709435814101,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2019,0,0.47143939198881124,27.04087940503944,0.24956918639780667,26.791310218641634,515.0844889769036,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2020,0,0.6213901228367863,28.499122781574304,0.31680510836188347,28.18231767321242,277.41228501463434,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2021,0,0.6210171793226336,33.441493479117504,0.34325431048333144,33.09823916863417,541.1090792185556,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2022,0,0.44435888645431626,35.96860903428079,0.22304596900629292,35.745563065274496,713.5135182902251,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2023,0,0.6071752226404754,32.10024242684916,0.2601320645064895,31.840110362342667,540.8740966966914,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600702,舍得酒业,2024,0,0.5464854598874448,11.20708473607263,0.42522782778757673,10.781856908285054,136.57747540639403,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600779,水井坊,2013,0,0.3180174063408185,-57.65292548,0.7331000719824061,-58.38602555,-259.0191422,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,核心利润≤0，回报率无意义
600779,水井坊,2014,0,0.33154827283157573,-66.29488977,0.9949401745295177,-67.28982995,-277.4577405,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,核心利润≤0，回报率无意义
600779,水井坊,2015,0,0.3629808093952326,20.36222105051714,0.37572837112135815,19.98649267939578,306.466164823882,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600779,水井坊,2016,0,0.5573518431711945,27.158383429440242,0.2641415160474132,26.89424191339283,585.1424001941392,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600779,水井坊,2017,0,0.7136968090208278,27.18361687218726,0.18838501790382978,26.995231854283432,866.7004470553255,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600779,水井坊,2018,0,0.7807163642909103,27.478825046697853,0.1766921321391841,27.30213291455867,1186.8026630178815,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
600779,水井坊,2019,0,1.2756135044685615,30.67410139223561,0.23377538090088024,30.44032601133473,874.282630730785,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
