ts_code,name,year,industry_barrier,excess_gross_margin,anomaly,rd_intensity,core_profit_margin,rd_exp
596,古井贡酒,2022,0.49377776304331955,0,,0.3390558792382967,26.311599249950262,5666.720300999999
596,古井贡酒,2023,0.571066941681474,0.7256018376559012,,0.35029552086502264,30.8635204946535,7094.719649
596,古井贡酒,2024,0.6089817322445704,3.702095426178431,,0.33184515772964523,32.85259017688313,7824.221258
799,酒鬼酒,2013,0.013851261794569504,1.1776433184056145,,0,0.6682130932638639,0
799,酒鬼酒,2014,-0.738801229,-7.720944396,行业壁垒系数<=0（公司核心利润为负）,0,-32.75713203,0
799,酒鬼酒,2015,0.4026348424175111,0.6398259998106113,,0,17.724082335403974,0
799,酒鬼酒,2016,0.48553462541889664,4.0283651943013155,,0,20.899879509479664,0
799,酒鬼酒,2017,0.5334744205965327,5.047785334985733,,0,25.1500426771993,0
799,酒鬼酒,2018,0.4838451435458464,4.466435315970884,,0.2957491853067903,23.81948421055153,351.019945
799,酒鬼酒,2019,0.5413292806567813,1.5473413121785313,,0.6439860408274739,26.77319112880692,973.644297
799,酒鬼酒,2020,0.6422745034538684,3.6450065918795502,,0.5925881721124403,32.992775127691694,1082.167723
799,酒鬼酒,2021,0.673603178329882,4.614241201640311,,0.29686399669697683,34.84016428303502,1013.602152
799,酒鬼酒,2022,0.6524906847566102,2.468347337633972,,0.411240330996243,34.768826578639164,1665.692927
799,酒鬼酒,2023,0.468992475845316,0.008236079859344159,,0.5787138344095389,25.34686887577505,1637.568714
799,酒鬼酒,2024,0.0353310066029012,-4.834845654,,1.4068425664739364,1.9059932654855325,2002.400009
858,五粮液,2013,0.9593670049949492,3.324725077371397,,0,46.281819193851135,0
858,五粮液,2014,0.8613107164627095,4.94006809990114,,0,38.18898471342932,0
858,五粮液,2015,0.8640115946396413,-0.63683508,,0,38.03399762968616,0
858,五粮液,2016,0.8723210121292502,-0.764548788,,0,37.54913263160062,0
858,五粮液,2017,0.9302144704238157,-0.887729719,,0,43.85389950645997,0
858,五粮液,2018,0.9438921906624199,-0.565000631,,0.2100477342230725,46.46739857132831,8408.250626000001
858,五粮液,2019,0.9680254913004023,-1.748927591,,0.25212529264396805,47.87683286723062,12636.04211
858,五粮液,2020,0.9367448931510615,-1.065776354,,0.22908722655007974,48.11932194964732,13131.52253
858,五粮液,2021,0.9417920545291394,0,,0.2679569001086661,48.71145350235159,17741.17277
858,五粮液,2022,0.9366857452443887,-1.741722115,,0.31876163133826785,49.91253514559173,23578.36458
858,五粮液,2023,0.9247660201531005,-2.546877595,,0.38649834890588247,49.979315790396576,32184.51653
858,五粮液,2024,0.9115845290298558,0.8521917486580577,,0.45422239673338427,49.17703004558703,40505.36323
2304,洋河股份,2013,0.919185636204629,-9.508376865,,0,44.343388087056034,0
2304,洋河股份,2014,0.9214258843767377,-6.965666372,,0,40.854384301097696,0
2304,洋河股份,2015,0.9303358442263252,-7.926985035,,0,40.9536070043992,0
